id,dag_id,execution_date,state,run_id,external_trigger,conf,end_date,start_date,run_type,last_scheduling_decision,dag_hash,creating_job_id
895,DAG_damage_return_etl2,"2021-01-06 01:55:00.000000",success,scheduled__2021-01-06T01:55:00+00:00,0,...,"2021-01-06 06:50:29.669010","2021-01-06 06:50:27.917071",scheduled,"2021-01-06 06:50:29.665576",da9e47668ce045243bfbc955612039e9,781
896,DAG_damage_return_etl2,"2021-01-06 02:00:00.000000",success,scheduled__2021-01-06T02:00:00+00:00,0,...,"2021-01-06 06:50:31.570822","2021-01-06 06:50:29.637522",scheduled,"2021-01-06 06:50:31.567532",da9e47668ce045243bfbc955612039e9,781
897,DAG_damage_return_etl2,"2021-01-06 02:05:00.000000",success,scheduled__2021-01-06T02:05:00+00:00,0,...,"2021-01-06 06:50:34.000877","2021-01-06 06:50:31.538876",scheduled,"2021-01-06 06:50:33.993357",da9e47668ce045243bfbc955612039e9,781
898,DAG_damage_return_etl2,"2021-01-06 02:10:00.000000",success,scheduled__2021-01-06T02:10:00+00:00,0,...,"2021-01-06 06:50:36.187959","2021-01-06 06:50:33.944328",scheduled,"2021-01-06 06:50:36.185030",da9e47668ce045243bfbc955612039e9,781
899,DAG_damage_return_etl2,"2021-01-06 02:15:00.000000",success,scheduled__2021-01-06T02:15:00+00:00,0,...,"2021-01-06 06:50:37.942052","2021-01-06 06:50:36.160809",scheduled,"2021-01-06 06:50:37.938887",da9e47668ce045243bfbc955612039e9,781
900,DAG_damage_return_etl2,"2021-01-06 02:20:00.000000",success,scheduled__2021-01-06T02:20:00+00:00,0,...,"2021-01-06 06:50:39.774020","2021-01-06 06:50:37.910586",scheduled,"2021-01-06 06:50:39.770822",da9e47668ce045243bfbc955612039e9,781
901,DAG_damage_return_etl2,"2021-01-06 02:25:00.000000",success,scheduled__2021-01-06T02:25:00+00:00,0,...,"2021-01-06 06:50:41.539111","2021-01-06 06:50:39.744449",scheduled,"2021-01-06 06:50:41.535914",da9e47668ce045243bfbc955612039e9,781
902,DAG_damage_return_etl2,"2021-01-06 02:30:00.000000",success,scheduled__2021-01-06T02:30:00+00:00,0,...,"2021-01-06 06:50:43.288152","2021-01-06 06:50:41.504552",scheduled,"2021-01-06 06:50:43.285133",da9e47668ce045243bfbc955612039e9,781
903,DAG_damage_return_etl2,"2021-01-06 02:35:00.000000",success,scheduled__2021-01-06T02:35:00+00:00,0,...,"2021-01-06 06:50:45.166488","2021-01-06 06:50:43.261926",scheduled,"2021-01-06 06:50:45.157038",da9e47668ce045243bfbc955612039e9,781
904,DAG_damage_return_etl2,"2021-01-06 02:40:00.000000",success,scheduled__2021-01-06T02:40:00+00:00,0,...,"2021-01-06 06:50:47.992890","2021-01-06 06:50:45.112882",scheduled,"2021-01-06 06:50:47.989601",da9e47668ce045243bfbc955612039e9,781
